Município,Ano,RISP,RMBH,Número de Vítimas
ARAUJOS,2019,7º RISP - Divinópolis,3) Interior de MG,42
ARAUJOS,2020,7º Departamento - Divinópolis,3) Interior de MG,67
ARAUJOS,2021,7º Departamento - Divinópolis,3) Interior de MG,61
ARAXA,2014,5º RISP - Uberaba,3) Interior de MG,993
ARAXA,2015,5º RISP - Uberaba,3) Interior de MG,1066
ARAXA,2016,5º RISP - Uberaba,3) Interior de MG,1158
ARAXA,2017,5º RISP - Uberaba,3) Interior de MG,1094
ARAXA,2018,5º RISP - Uberaba,3) Interior de MG,1111
ARAXA,2019,5º RISP - Uberaba,3) Interior de MG,1045
ARAXA,2020,5º Departamento - Uberaba,3) Interior de MG,995
ARAXA,2021,5º Departamento - Uberaba,3) Interior de MG,944
ARCEBURGO,2014,18º RISP - Poços de Caldas,3) Interior de MG,36
ARCEBURGO,2015,18º RISP - Poços de Caldas,3) Interior de MG,21
ARCEBURGO,2016,18º RISP - Poços de Caldas,3) Interior de MG,43
ARCEBURGO,2017,18º RISP - Poços de Caldas,3) Interior de MG,41
ARCEBURGO,2018,18º RISP - Poços de Caldas,3) Interior de MG,48
ARCEBURGO,2019,18º RISP - Poços de Caldas,3) Interior de MG,39
ARCEBURGO,2020,18º Departamento - Poços de Caldas,3) Interior de MG,47
ARCEBURGO,2021,18º Departamento - Poços de Caldas,3) Interior de MG,54
ARCOS,2014,7º RISP - Divinópolis,3) Interior de MG,264
ARCOS,2015,7º RISP - Divinópolis,3) Interior de MG,354
ARCOS,2016,7º RISP - Divinópolis,3) Interior de MG,344
ARCOS,2017,7º RISP - Divinópolis,3) Interior de MG,249
ARCOS,2018,7º RISP - Divinópolis,3) Interior de MG,303
ARCOS,2019,7º RISP - Divinópolis,3) Interior de MG,362
ARCOS,2020,7º Departamento - Divinópolis,3) Interior de MG,310
ARCOS,2021,7º Departamento - Divinópolis,3) Interior de MG,290
AREADO,2014,18º RISP - Poços de Caldas,3) Interior de MG,130
AREADO,2015,18º RISP - Poços de Caldas,3) Interior de MG,108
AREADO,2016,18º RISP - Poços de Caldas,3) Interior de MG,85
AREADO,2017,18º RISP - Poços de Caldas,3) Interior de MG,109
AREADO,2018,18º RISP - Poços de Caldas,3) Interior de MG,133
