ID,Bairro,Idade Aparente,Raca Cor,Escolaridade,Classificacao,Tipo,N de casos Total,N de casos Fatais,N de bairros Divisa,Media Idade,Cor Predominante,Escolaridade Predominante
139,SANTA LUCIA,,,,Bairro,2,0.08835341365461848,1.0,7.0,36.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
140,SANTA LUZIA,,,,Bairro,2,0.05756358768406961,0.0,4.0,38.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
141,SANTA MARTHA,,,,Bairro,2,0.009370816599732263,0.0,4.0,34.0,PRETO,ENSINO MEDIO COMPLETO  2o GRAU 
142,SANTA ROSA,,,,Bairro,2,0.14323962516733602,0.0,4.0,38.0,PARDA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO 
143,SANTA TEREZA,,,,Bairro,2,0.038821954484605084,0.0,5.0,39.0,BRANCA,SUPERIOR COMPLETO
144,SANTO ANDRE,,,,Bairro,2,0.012048192771084338,1.0,4.0,47.0,BRANCA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO 
145,SANTO ANTONIO,,,,Bairro,2,0.060240963855421686,0.0,3.0,39.0,BRANCA,SUPERIOR COMPLETO
146,SANTO ANTONIO DOS CAMPOS,,,,Bairro,2,0.0013386880856760374,0.0,7.0,59.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
147,SANTOS DUMONT,,,,Bairro,2,0.0321285140562249,0.0,3.0,44.0,BRANCA,ALFABETIZADO
148,SAO BENTO,,,,Bairro,2,0.002677376171352075,0.0,2.0,35.0,PARDA,ALFABETIZADO
149,SAO CAETANO,,,,Bairro,2,0.0107095046854083,0.0,3.0,36.0,BRANCA,SUPERIOR COMPLETO
150,SAO CRISTOVAO,,,,Bairro,2,0.0013386880856760374,0.0,1.0,39.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
151,SAO DOMINGOS,,,,Bairro,2,0.012048192771084338,0.0,4.0,45.0,BRANCA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO 
152,SAO FREI GALVAO,,,,Bairro,2,0.024096385542168676,0.0,4.0,32.0,PRETO,ENSINO MEDIO COMPLETO  2o GRAU 
153,SAO GERALDO,,,,Bairro,2,0.012048192771084338,0.0,4.0,31.0,BRANCA,SUPERIOR INCOMPLETO
154,SAO JOAO DE DEUS,,,,Bairro,2,0.11512717536813923,2.0,3.0,37.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
155,SAO JOSE,,,,Bairro,2,0.12985274431057564,0.0,8.0,42.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
156,SAO JUDAS TADEU,,,,Bairro,2,0.08835341365461848,0.0,11.0,42.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
157,SAO LUCAS,,,,Bairro,2,0.01606425702811245,1.0,3.0,39.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
158,SAO LUIZ,,,,Bairro,2,0.06291834002677377,3.0,3.0,38.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
159,SAO MIGUEL,,,,Bairro,2,0.05756358768406961,0.0,3.0,38.0,BRANCA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO 
